,slides,speaker,title,date,cohort,tag,subtag,recording
0,https://docs.google.com/presentation/d/1w_WWb7Mj7NgX4pLBejB4Vc_ofK7ZHOUYOT1MCeKVi20/edit?usp=sharing,malvikasharan,Welcome to OLS!,"January 29, 2020",ols-1,Not sorted,Not tagged,
1,https://docs.google.com/presentation/d/14LsolqKJdd1T7XMV8PK6yQrjjrz9VPFHRDtjrL_55Js/edit?usp=sharing,yochannah,Introducing Open Canvas,"January 29, 2020",ols-1,Not sorted,Not tagged,
2,https://docs.google.com/presentation/d/1IqvBjHlqXk8tkKj7nbp5pneQq19z6yuUq9Bkp3eTYPE/edit?usp=sharing,bebatut,Road Mapping,"January 29, 2020",ols-1,Not sorted,Not tagged,
3,https://docs.google.com/presentation/d/1ymSOc9vPnFJpU0FwFBqw25qhSmJVAv5scpi-N9KVopc/edit?usp=sharing,joshsimmons,A Primer on Open Licenses,"February 12, 2020",ols-1,Not sorted,Not tagged,
4,https://docs.google.com/presentation/d/1APGIvU1aZ_zNkLmC5SYlLXBh6LZK_Qe97-3C_3oXcFI/edit?usp=sharing,mkuzak,READMEs for Open Projects,"February 12, 2020",ols-1,Not sorted,Not tagged,
5,https://docs.google.com/presentation/d/1aLaDBwH64PCRtCLIftVkjBYT60ifWuIV7Im2t8BXN8Q/edit?usp=sharing,karinlag,Contributing Guidelines and Codes of Conduct for Open Projects,"February 12, 2020",ols-1,Not sorted,Not tagged,
6,https://docs.google.com/presentation/d/1C_RurOY1W__HLRbPTTzmdYT-qdTpuF2qi7leL4Hzdok/edit#slide=id.g7e28a7e96f_0_0,yochannah,Agile and iterative project management methods,"February 26, 2020",ols-1,Not sorted,Not tagged,https://youtu.be/hiLDGLfXa2s?t=165
7,https://docs.google.com/presentation/d/1JJWt0OtVWTMHbouXOF0w1QJsxwv-rUXiqHmkEx-A5B8/edit?usp=sharing,thessaly,Open Science Hardware,"February 26, 2020",ols-1,Not sorted,Not tagged,https://youtu.be/hiLDGLfXa2s?t=1141
8,https://ajstewartlang.github.io/talks/OLS_talk/assets/player/KeynoteDHTMLPlayer.html,ajstewartlang,Open Software in Research,"February 26, 2020",ols-1,Not sorted,Not tagged,https://youtu.be/hiLDGLfXa2s?t=2239
9,https://docs.google.com/presentation/d/e/2PACX-1vTm51ExlLfv1L_oI59D_9EZlBWf1UbSXmHVAIutII9Cs8AnGqLkH9meXGiwBajn-r_u297hdV7MdWCL/pub?start=false&loop=false&delayms=3000,lwinfree,Open Data,"February 26, 2020",ols-1,Not sorted,Not tagged,https://youtu.be/hiLDGLfXa2s?t=3848
10,https://www.slideshare.net/gedankenstuecke/2020-0311openlifesciences,gedankenstuecke,Citizen science using your own personal data,"March 11, 2020",ols-1,Not sorted,Not tagged,https://youtu.be/HaQyv48sMPY?t=891
11,https://docs.google.com/presentation/d/1T3Z51l8XIRtUQtSooZvUZzH60rFS-n73bDQwGwH639Y/edit?usp=sharing,kipkurui,Open Education and Training,"March 11, 2020",ols-1,Not sorted,Not tagged,https://youtu.be/HaQyv48sMPY?t=1879
