"Case ID","Honorarium administration: Cohort","Honorarium administration: Role","Honorarium administration: Final cost","Contact: "
258,OLS-7,mentor,"311.64 GBP",
317,OLS-8,Speaker,"203.57 GBP",
323,OLS-8,Facilitator,"62.33 GBP",Egypt
327,OLS-8,speaker,0,Canada
77,OLS-6,speaker,"250 USD","United States"
333,OLS-8,speaker,,
334,OLS-8,speaker,"250 USD",
79,OLS-6,Speaker,206.65,
335,OLS-8,Speaker,"199.10 GBP",
336,OLS-8,Speaker,"250 USD",
81,OLS-6,Speaker,"234.55 EUR",Cameroon
82,OLS-6,speaker,"205.87 GBP",Canada
83,OLS-6,"facilitator role (transcript check - week 2 and 3 cohort calls)","122.02 GBP",Spain
339,OLS-8,Speaker,"200.96 GBP",
341,OLS-8,Speaker,"198.75 GBP","Hong Kong"
343,OLS-8,Speaker,0,
89,OLS-6,Speaker,"202.66 GBP",Ireland
345,OLS-8,speaker,"225.48 USD",Chile
347,OLS-8,speaker,"199.27 GBP",
94,OLS-6,"facilitator (co-host a session)","40.68 GBP",Spain
351,OLS-7,Mentor,"403.81 GBP",Cameroon
352,OLS-7,Facilitator,"187.50 GBP",Cameroon
353,OLS-7,Mentor,"395.49 GBP",Argentina
354,OLS-7,Facilitator,"307.17 GBP",Argentina
355,OLS-7,Mentor,"414.95 GBP",Cameroon
356,OLS-8,"Speaker (Expert talk)","211.18 GBP",Cameroon
357,OLS-7,mentor,"500 USD",Argentina
358,OLS-7,mentor,0,Argentina
359,OLS-7,mentor,"397.82 GBP",Colombia
360,OLS-7,Mentor,"394.81 GBP",Canada
361,OLS-8,Speaker,"198.96 GBP",Spain
362,OLS-7,Mentor,"457.64 EUR",Netherlands
363,OLS-7,Mentor,"395.94 GBP",India
364,OLS-7,Mentor,"195.70 GBP","United Kingdom"
366,OLS-7,Mentor,"383.99 GBP","United Kingdom"
367,OLS-8,"Call Facilitator",,"United Kingdom"
368,OLS-7,"Mentor and expert","393.59 GBP",Canada
370,OLS-7,Mentor,"458.74 EUR",Netherlands
371,OLS-7,Mentor,"398.43 GBP",Kenya
372,OLS-8,Facilitator,"75 USD",Nigeria
373,OLS-7,"co-facilitator, transcriber","150 USD",Ireland
374,OLS-7,Mentor,"457.92 EUR",Ireland
375,OLS-7,Mentor,"456.58 EUR",Switzerland
376,OLS-7,mentor,"394.76 GBP",Kenya
377,OLS-8,"facilitator; transcription check","94.53 GBP",Kenya
378,OLS-7,mentor,"397.71 GBP",Kenya
379,OLS-7,Mentor,"389.08 GBP",Kenya
380,OLS-7,Facilitator,"156.17 GBP",Kenya
381,OLS-8,Facilitator,"240.97 GBP",Kenya
382,OLS-8,Facilitator,"373.05 GBP",Cameroon
383,OLS-6,Mentor,"392.80 GBP",Kenya
385,OLS-8,Facilitator,"201.35 GBP",Kenya
386,OLS-7,Mentor,"500 USD",
388,OLS-8,Facilitator,"68.46 EUR",France
389,OLS-7,Mentor,"457.44 EUR",Germany
390,OLS-7,Mentor,"500 USD","United States"
391,OLS-8,Speaker,"233.74 EUR",France
392,OLS-8,Facilitator,"59.92 GBP",Nigeria
393,OLS-8,"Video Facilitator",,Uganda
394,OLS-7,Mentor,"503.66 USD",Chile
395,OLS-7,Mentor,"457.44 EUR",Ireland
396,OLS-8,"Call facilitator","61 GBP",Nigeria
397,OLS-7,Mentor,0,
399,OLS-8,speaker,0,Canada
400,OLS-8,speaker,"251.77 USD",Canada
401,OLS-8,Speaker,"197.84 GBP",
146,OLS-6,"Facilitator (co-hosted 2 meetings and Transcription of the three (3) graduation videos","251.68 GBP",Kenya
147,OLS-6,"Transcription of the videos, preparing guideline for the transcription","448.41 GBP",Canada
148,OLS-6,"Facilitator and Speaker","370.58 GBP",Spain
149,OLS-6,speaker,"206.02 GBP",Germany
153,OLS-6,"Facilitator - transcription check",189.14GBP,"South Africa"
177,OLS-7,Speaker,"201.46 GBP",Nigeria
193,OLS-7,Speaker,"253.62 USD",
194,OLS-7,Speaker,"198.08 GBP","United Kingdom"
195,OLS-7,Speaker,"253.58 USD",
196,OLS-7,Speaker,"250.39 USD",Argentina
197,OLS-7,Speaker,"229.91 EUR",Germany
200,OLS-7,Speaker,"202.20 GBP",
202,OLS-7,speaker,"202.83 GBP",India
206,OLS-7,Speaker,"203.62 GBP",Australia
215,OLS-7,"speaker for Open Data","250 USD",Netherlands
216,OLS-7,"Ally Skills workshop facilitator","100 USD",Netherlands
218,OLS-7,speaker,"250 USD","United States"
219,OLS-7,Speaker,"200.94 GBP",Nigeria
220,OLS-7,Facilitator,"59.63 GBP",Nigeria
222,OLS-7,facilitator,"81.99 GBP",Kenya
223,OLS-7,facilitator,"61.71 GBP",Kenya
224,OLS-7,"transcription check","52.32 GBP",Kenya
225,OLS-7,Speaker,"250.39 USD","United States"
226,OLS-7,Facilitator,"121.37 GBP",
227,OLS-7,Facilitator,"69.41 EUR",France
228,OLS-6,Mentor,"416.98 GBP",Germany
239,OLS-7,Mentor,"458.07 EUR",Germany
248,OLS-7,Mentor,396.39,
