"Case ID","Contact: ","Microgrant request: Cohort","Microgrant request: Final cost (incl currency)","Microgrant request: Requested items"
78,Nigeria,OLS-6,"75 GBP","A month internet: 48,900 naira
Book nuclear for life: 39,999 naira 
"
217,Colombia,OLS-7,"101.37 GBP","A microphone to improve the audio in my virtual meetings (Linux doesn't get on well with my PC's audio hardware). This is available for delivery in Colombia https://www.amazon.com/dp/B07QKQJL17?tag=georiot-us-default-20&th=1&ascsubtag=pcg-row-5438070539143454000-20&geniuslink=true"
221,Switzerland,OLS-6,"452.99 GBP","Through the OLS microgrant, we would like to support our marketing and merchandising expenses - including swag for the OpSciHack event. Here are a few expenses we would like covered through this microgrant: 

1. Stickers - https://www.vistaprint.ch/etiketten-aufkleber/personalisierte-etiketten-aufkleber/separate-aufkleber - 250 stk, CHF100.79 
2. Notepads- https://www.vistaprint.ch/einladungen-und-schreibwaren/notizblocke - 30 stk, CHF212.00
3. Pens - https://www.vistaprint.ch/werbeartikel/schreib-und-burobedarf/personalisierte-kugelschreiber/premium-kugelschreiber	50 stk, CHF131.52
4. Flyers ETH print shop https://www.print-publish.ethz.ch/office/flyers/einfacher-flyer-mit-eigener-formateingabe.html 30 stk, CHF 6.10
5. Twitter campaign - CHF 50.00
Total	CHF500.41"
1,"United Kingdom",OLS-6,,
2,India,OLS-6,"44.98 GBP","headset https://www.boat-lifestyle.com/products/airdopes-601-anc Airpods 601-anc"
3,Netherlands,OLS-6,"22.91 GBP","webcam (from OLS-6 form). Webcam 1080p with Microphone and Webcam Cover, Tripod, Plug & Play with Automatic Light Correction for Laptop PC, Desktop for Live Streaming Video Call, Conference, Online Education, Game. Brand: NIVEOLI https://www.amazon.nl/Webcam-webcamafdekking-automatische-lichtcorrectie-videogesprekken/dp/B08P5RC39C"
4,Kenya,OLS-6,"345 GBP","1. Internet bundles -  $33 

2. Headset - $45 (https://www.mobilehub.co.ke/product/jbl-tune-500bt-wireless-headphones/)

3. Childcare - $42

5. Webcam -  $58 (https ://www.mobilehub.co.ke/product/logitech-c270/)"
5,Nigeria,OLS-6,"1020 GBP","Battery, power inverter+charger, data plan, headset, laptop"
6,Kenya,OLS-6,"92 GBP","Link to headset: https://www.mobilehub.co.ke/product/jbl-live-400bt-headphones-wireless-on-ear-headphones/
Link to Internet: https://zuku.co.ke/triple-play/ "
7,Spain,OLS-6,"50 EUR","I would expect something between 20 and max 50 USD for total (1 to 2 hours) for the childcare. "
8,Kenya,OLS-6,"354 GBP","webcam
headphones
internet
childcare "
10,"United Kingdom",OLS-6,"30.57 GBP","Logitech Signature M650 Wireless Mouse: https://www.amazon.in/dp/B09QWY7JYK?ref_=cm_sw_r_cp_ud_dp_2BQ77ZQEVZ37JDWXN7PB "
11,Cameroon,OLS-6,"122 gbp + 83.41 EUR","Internet bundle ~16eur / month
modem 70 eur"
32,"United Kingdom",OLS-6,"26.99 GBP",Microphone
121,Ghana,OLS-7,,
122,"United Kingdom",OLS-7,"37.48 GBP","Webcam: https://www.amazon.co.uk/dp/B08T9GHKJX/ref=syn_sd_onsite_desktop_0?ie=UTF8&psc=1&pd_rd_plhdr=t; 
zoom with otter.ai"
123,Cameroon,OLS-7,87.42GBP,"headset: https://glotelho.cm/en/wireless-headset-lenovo-hd100-bluetooth-v5-0-500mah.html (30,000 fcfa)
high speed internet: https://www.orange.cm/fr/internet-giga/offres-et-services-internet/forfaits-giga-data-30-jours.html (10000 fcfa/ mo - 40000 fcfa)"
124,Nigeria,OLS-7,"67.40 + 349.94 GBP","Backup batteries, webcam, headset, Mobile data top-ups

Internet: https://www.mtn.ng/personal/data/data-plans/ (10,000ngn /mo -&gt; 18GBP/mo)

Webcam: https://www.jumia.com.ng/generic-usb-full-hd-1080p-video-camera-auto-focusing-webcam-63958263.html (9800 ngn -&gt; 18 GBP)

headphone + microphone: https://www.jumia.com.ng/generic-3.5mm-wired-gaming-and-microphone-headphone-for-xbox-one-ps4-71474930.html (6941 ngn -&gt; 12.5 gbp)

Battery: https://www.konga.com/product/solar-generator-with-inbuilt-lithium-battery-1000w-5801801 (240,000ngn = 433.05 GBP)"
125,Cameroon,OLS-7,"380.40 GBP","Data subscription: 21500 fcfa/ mo (86000 fcfa/115.63GBP for 4 mo)

Modem: https://glotelho.cm/en/flybox-olax-ax6-pro-modem-4g-lte-300mbps-double-sim-4000-mah-6-mois.html (33900 fcfa/ 45.79GBP)

Headset-https://glotelho.cm/en/telephones-tablettes/wired-headset-logitech-h111-with-noise-canceling-mic-for-customer-service-6-month-warranty.html (19999fcfa/27.01GBP)

Mouse- https://glotelho.cm/en/wireless-mouse-premax.html (3500 fcfa/ 4.73gbp)

Keyboard - https://glotelho.cm/en/hp-k500f-wired-rgb-lighted-qwerty-keyboard-06-months-warranty.html (29900 fcfa / 40.37GBP)

Webcam- https://glotelho.cm/en/logitech-webcam-c270-hd-720p-compatible-facebook-skype-msn.html (67200 fcfa / 90.77GBP)

Powerbank (50000 MAh) - 38000 fcfa."
126,Argentina,OLS-7,,"microphone or a wired headsets (with a dedicated microphone). And if it´s possible a mobile data top-ups too"
127,Egypt,OLS-7,"7.28GBP + 7.98 GBP + 4.02 GBP + 12.97 EUR","Internet subscription: https://web.vodafone.com.eg/en/mobile-internet-bundles?c_id=DACW0037&c_content=Website&c_medium=PPC&c_name=PureBrandEN&c_source=Search&c_term=InternetBundlesExtEN&c_type=Anonymous&c_phase=awareness&c_date=1218&gclid=CjwKCAiA0cyfBhBREiwAAtStHEL5GAk3VKkqJWFUCvVhzhho_Rm4a7Q-01Y8Cmr9MM1wqpTmbFT4kRoCsy4QAvD_BwE (Doaa quoted initially at 65LE /mo but didn't realize it was 95 LE /mo when tax is included -&gt; we're topping this up to 95*4 LE)

headphones: https://www.amazon.eg/-/en/dp/B091J7JWT4?psc=1&smid=A239XCWS8NYATG&ref_=chk_typ_imgToDp

(2023/5/26) microphone top up: https://www.amazon.eg/-/en/Microphone-Omnidirectional-Condenser-Camcorder-Interview/dp/B07QZ32QZ4/ref=asc_df_B07QZ32QZ4/?tag=egoshpadsp-21&linkCode=df0&hvadid=545257881359&hvpos=&hvnetw=g&hvrand=10410682899582455131&hvpone=&hvptwo=&hvqmt=&hvdev=m&hvdvcmdl=&hvlocint=&hvlocphy=9073641&hvtargid=pla-928488088499&psc=1"
128,Germany,OLS-7,,"noice cancelling headphones"
