,id,country,country-alpha_3,city,longitude,latitude,cohort,role
0,0sahene,Ghana,GHA,Tamale,-0.8423986,9.4051992,5,participant
1,0x174,United States,USA,Boston,-71.060511,42.3554334,3,participant
2,4iro,Argentina,ARG,"Rancagua, Provincia De Buenos Aires",-60.5045833,-34.0299629,7,participant
3,aath0,Switzerland,CHE,,,,1,expert
4,aath0,Switzerland,CHE,,,,2,expert
5,abdulelahsm,Saudi Arabia,SAU,Dammam,50.1039991,26.4367824,3,participant
6,abraham-dabengwa,South Africa,ZAF,Johannesburg,28.049722,-26.205,5,participant
7,abretaud,France,FRA,Rennes,-1.6800198,48.1113387,4,mentor
8,acocac,United Kingdom,GBR,London,-0.12765,51.5073359,4,participant
9,acocac,United Kingdom,GBR,London,-0.12765,51.5073359,5,mentor
10,adam-gristwood,Germany,DEU,Heidelberg,8.694724,49.4093582,3,expert
11,afzal442,India,IND,,,,3,participant
12,agbeltran,United Kingdom,GBR,,,,2,expert
13,agossoubido2021,Benin,BEN,Abomey Calavi,2.3303076367454025,6.51096225,5,participant
14,aida-turing,United Kingdom,GBR,London,-0.12765,51.5073359,3,participant
15,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,1,expert
16,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,1,mentor
17,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,2,expert
18,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,2,mentor
19,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,3,expert
20,ailís-o'carroll,Ireland,IRL,,,,7,mentor
21,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,1,expert
22,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,1,mentor
23,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,1,speaker
24,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,2,expert
25,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,2,mentor
26,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,2,speaker
27,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,4,expert
28,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,5,speaker
29,akalikadien,Netherlands,NLD,Delft,4.362724538543995,51.999457199999995,5,participant
30,aldenc,United Kingdom,GBR,London,-0.12765,51.5073359,6,participant
31,alecandian,Netherlands,NLD,,,,5,participant
32,alecandian,Netherlands,NLD,,,,6,expert
33,alecandian,Netherlands,NLD,,,,6,mentor
34,aleesteele,United Kingdom,GBR,London,-0.12765,51.5073359,5,participant
35,aleesteele,United Kingdom,GBR,London,-0.12765,51.5073359,6,expert
36,aleesteele,United Kingdom,GBR,London,-0.12765,51.5073359,6,mentor
37,alexholinski,United Kingdom,GBR,,,,3,expert
38,alexholinski,United Kingdom,GBR,,,,3,speaker
39,alexholinski,United Kingdom,GBR,,,,4,expert
40,alexholinski,United Kingdom,GBR,,,,4,mentor
41,alexholinski,United Kingdom,GBR,,,,5,expert
42,alexwlchan,United Kingdom,GBR,,,,1,speaker
43,alexwlchan,United Kingdom,GBR,,,,2,expert
44,alexwlchan,United Kingdom,GBR,,,,2,speaker
45,alexwlchan,United Kingdom,GBR,,,,3,expert
46,alexwlchan,United Kingdom,GBR,,,,4,expert
47,alexwlchan,United Kingdom,GBR,,,,4,speaker
48,alexwlchan,United Kingdom,GBR,,,,5,expert
49,alexwlchan,United Kingdom,GBR,,,,6,speaker
50,aliaslaurel,Argentina,ARG,Córdoba,-4.7760138,37.8845813,6,expert
51,alihumayun,United Kingdom,GBR,London,-0.12765,51.5073359,3,participant
52,alihumayun,United Kingdom,GBR,London,-0.12765,51.5073359,4,participant
53,amangoel185,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,6,participant
54,amangoel185,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,7,facilitator
55,amchagas,United Kingdom,GBR,,,,3,speaker
56,anafinovas,Hungary,HUN,Budapest,19.14609412691246,47.48138955,7,participant
57,anayan321,Thailand,THA,Bangkok,100.4935089,13.7524938,1,participant
58,anayan321,Thailand,THA,Bangkok,100.4935089,13.7524938,4,expert
59,andre-vargas-de,Bolivia,,Cochabamba,-66.16756808852,-17.401245799999998,5,participant
60,andreasancheztapia,Colombia,COL,"Merced, CA",-120.7678602,37.1641544,6,expert
61,andreasancheztapia,Colombia,COL,"Merced, CA",-120.7678602,37.1641544,6,mentor
62,andreasancheztapia,Colombia,COL,"Merced, CA",-120.7678602,37.1641544,6,mentor
63,andreea-avramescu,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,4,participant
64,anelda,South Africa,ZAF,Overberg,5.4964645,52.0390484,2,mentor
