name	participants	mentors	cohort
Open Science Community Barcelona (OSCBa)	Elisenda Bonet-Carne	Harry Smith	OLS-1
Investigate feasible solutions to help create a system that creates, collects and processes data efficiently for impactful research especially for driving health research and driving health related policies	Deborah Akuoko	Vicky Nembaware	OLS-1
InterMine Similarity Explorer	Himanshu Singh	Yo Yehudi	OLS-1
Mapping Science using Open Scholarship	Stefan Gaillard	Malvika Sharan, Yo Yehudi	OLS-2
Developing the Research Software and Systems Engineering Community to support Life Sciences in Africa	Peter van Heusden, Eugene de Beste	Mesfin Diro, Raniere Silva	OLS-2
BioLab Open Source Projects	Boï Kone, Bakary N'tji Diallo	Delphine Lariviere	OLS-2
Target approach in the stages of liver cirrhosis to reverse back in good condition	Wasifa Rahman	Sonika Tyagi, Malvika Sharan	OLS-2
Supervised Classification with UMAP and Network Propagation	Joel Hancock, Markus Kirolos Youssef	Markus Löning	OLS-2
Arua City Open Learning Circles	Ibrahim Ssali	Caleb Kibet	OLS-2
Western Cape-H3ABioNet Open Learning Circles	Ekeoma Festus	Caleb Kibet, Lena Karvovskaya	OLS-2
Open Phototroph	Steven Burgess	Stephen Klusza	OLS-3
Opensource Transpiler of Synthetic Biology Lab Protocols for Wetlab Robotics	William Jackson		OLS-3
Field and laboratory based research project researching, surveying, and discovering the palaeoecology and palaeogeography of West Cork	Robin Lewando	Bruno Soares	OLS-3
Global Distribution of APOL1 Genetic variants	John Ogunsola	Sam Haynes, Yo Yehudi	OLS-3
Junto Labs - Advancing Virtual Environments for Life Science Research and Active Learning	Lomax Boyd	Melissa Burke	OLS-3
Open Life Science (OLS) Program, a driver of open science skills among early stage researchers and young leaders: mentee perspective	Muhammet Celik	Bérénice Batut, Yo Yehudi, Malvika Sharan	OLS-3
Seeding	Dario Pescini, Marzia Di Filippo, Chiara Damiani, Paolo Pedaletti	Bérénice Batut	OLS-3
The Turing Way - Developing a community health report and assessing its impact on the wider data science community	Ali Humayun	Malvika Sharan	OLS-3
Developing and embedding open science practices within the Research Application Management team at Turing	Aida Mehonic	Malvika Sharan	OLS-3
An open educational resource to introduce fundamental concepts of GNU/Linux, terminal usage, Bash/AWK scripting, and Git/GitHub for Bioinformatics	Andres Sebastian Ayala Ruano	Alexander Martinez Mendez, Julien Colomb	OLS-4
Genestorian: An Open Source web application for model organism collections	Manuel Lera Ramirez	Sam Haynes	OLS-4
Grassroots: Nurturing the EMBL Bio-IT Community	Lisanna Paladin	Emmy Tsang, Dave Clements	OLS-4
Generic data stewards in the Netherlands: who they are, what they do, and who they could become	Elisa Rodenburg	Carly Monks, Alexandra Holinski	OLS-4
